Current Time                                                                Throughput               
15518.000000                                                                12500.000000             

15526.000000                                                                12500.000000             

15538.000000                                                                8333.333333              

15549.000000                                                                9090.909091              

15558.000000                                                                11111.111111             

15567.000000                                                                11111.111111             

15577.000000                                                                10000.000000             

15586.000000                                                                11111.111111             

15597.000000                                                                9090.909091              

15606.000000                                                                11111.111111             

15616.000000                                                                10000.000000             

15630.000000                                                                7142.857143              

15634.000000                                                                25000.000000             

15644.000000                                                                10000.000000             

15653.000000                                                                11111.111111             

15661.000000                                                                12500.000000             

15670.000000                                                                11111.111111             

15682.000000                                                                8333.333333              

15689.000000                                                                14285.714286             

15701.000000                                                                8333.333333              

15711.000000                                                                10000.000000             

15724.000000                                                                7692.307692              

15732.000000                                                                12500.000000             

15739.000000                                                                14285.714286             

15751.000000                                                                8333.333333              

15757.000000                                                                16666.666667             

15767.000000                                                                10000.000000             

15776.000000                                                                11111.111111             

15788.000000                                                                8333.333333              

15793.000000                                                                20000.000000             

15803.000000                                                                10000.000000             

15814.000000                                                                9090.909091              

15822.000000                                                                12500.000000             

15833.000000                                                                9090.909091              

15843.000000                                                                10000.000000             

15852.000000                                                                11111.111111             

15863.000000                                                                9090.909091              

15873.000000                                                                10000.000000             

15880.000000                                                                14285.714286             

15888.000000                                                                12500.000000             

15898.000000                                                                10000.000000             

15906.000000                                                                12500.000000             

15916.000000                                                                10000.000000             

15928.000000                                                                8333.333333              

15938.000000                                                                10000.000000             

15947.000000                                                                11111.111111             

15965.000000                                                                5555.555556              

15970.000000                                                                20000.000000             

15981.000000                                                                9090.909091              

15989.000000                                                                12500.000000             

15996.000000                                                                14285.714286             

16004.000000                                                                12500.000000             

16014.000000                                                                10000.000000             

16022.000000                                                                12500.000000             

16032.000000                                                                10000.000000             

16042.000000                                                                10000.000000             

16050.000000                                                                12500.000000             

16061.000000                                                                9090.909091              

16069.000000                                                                12500.000000             

16078.000000                                                                11111.111111             

16092.000000                                                                7142.857143              

16099.000000                                                                14285.714286             

16109.000000                                                                10000.000000             

16122.000000                                                                7692.307692              

16130.000000                                                                12500.000000             

16137.000000                                                                14285.714286             

16147.000000                                                                10000.000000             

16158.000000                                                                9090.909091              

16167.000000                                                                11111.111111             

16177.000000                                                                10000.000000             

16186.000000                                                                11111.111111             

16194.000000                                                                12500.000000             
